ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
16375,CN(C)C(NCCCC(C(O)=O)NC(CCc1nnc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCCNC(CCc1nnc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc1nnc(-c2ccccc2)[o]1)=O)=O,CN(C)C(NCCCCN(C(CCc1nnc(-c2ccccc2)[o]1)=O)[Hg])=O
16376,CN(C)C(NCCCC(C(O)=O)NC(CCc1ncc(-c(cc2)ccc2Cl)[o]1)=O)=O,CN(C)C(NCCCCNC(CCc1ncc(-c(cc2)ccc2Cl)[o]1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc1ncc(-c(cc2)ccc2Cl)[o]1)=O)=O,CN(C)C(NCCCCN(C(CCc1ncc(-c(cc2)ccc2Cl)[o]1)=O)[Hg])=O
16377,CN(C)C(NCCCC(C(O)=O)NC(CNC(c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCCNC(CNC(c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CNC(c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCCN(C(CNC(c1ccc[o]1)=O)=O)[Hg])=O
16378,CN(C)C(NCCCC(C(O)=O)NC(CNC(/C=C/c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCCNC(CNC(/C=C/c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CNC(/C=C/c1ccc[o]1)=O)=O)=O,CN(C)C(NCCCCN(C(CNC(/C=C/c1ccc[o]1)=O)=O)[Hg])=O
16379,CN(C)C(NCCCC(C(O)=O)NC(Cc(cc1)ccc1OCc1ccccc1)=O)=O,CN(C)C(NCCCCNC(Cc(cc1)ccc1OCc1ccccc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cc1)ccc1OCc1ccccc1)=O)=O,CN(C)C(NCCCCN(C(Cc(cc1)ccc1OCc1ccccc1)=O)[Hg])=O
16380,Cc1cc(OC(C2=C3CCC2)=O)c3c(OCC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)c1,Cc1cc(OC(C2=C3CCC2)=O)c3c(OCC(NCCCCNC(N(C)C)=O)=O)c1,Cc1cc(OCC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)c(C(CCC2)=C2C(O2)=O)c2c1,Cc1cc(OCC(N(CCCCNC(N(C)C)=O)[Hg])=O)c(C(CCC2)=C2C(O2)=O)c2c1
16381,CN(C)C(NCCCC(C(O)=O)NC(Cc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCCNC(Cc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCCN(C(Cc1cc(cccc2)c2cc1)=O)[Hg])=O
16382,CN(C)C(NCCCC(C(O)=O)NC(COc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCCNC(COc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(COc1cc(cccc2)c2cc1)=O)=O,CN(C)C(NCCCCN(C(COc1cc(cccc2)c2cc1)=O)[Hg])=O
16383,CN(C)C(NCCCC(C(O)=O)NC(CCc1ccc[s]1)=O)=O,CN(C)C(NCCCCNC(CCc1ccc[s]1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCc1ccc[s]1)=O)=O,CN(C)C(NCCCCN(C(CCc1ccc[s]1)=O)[Hg])=O
16384,CN(C)C(NCCCC(C(O)=O)NC(Cc1c[s]cc1)=O)=O,CN(C)C(NCCCCNC(Cc1c[s]cc1)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1c[s]cc1)=O)=O,CN(C)C(NCCCCN(C(Cc1c[s]cc1)=O)[Hg])=O
16385,CN(C)C(NCCCC(C(O)=O)NC(CCC(c1ccc[s]1)=O)=O)=O,CN(C)C(NCCCCNC(CCC(c1ccc[s]1)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCC(c1ccc[s]1)=O)=O)=O,CN(C)C(NCCCCN(C(CCC(c1ccc[s]1)=O)=O)[Hg])=O
16386,CN(C)C(NCCCC(C(O)=O)NC(CCC(c(cc1)cc(F)c1OC)=O)=O)=O,CN(C)C(NCCCCNC(CCC(c(cc1)cc(F)c1OC)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCC(c(cc1)cc(F)c1OC)=O)=O)=O,CN(C)C(NCCCCN(C(CCC(c(cc1)cc(F)c1OC)=O)=O)[Hg])=O
