"Position","SMILES_Structure","SMILES_Scaffold"
"2","COC(c1c(C([Hg])=O)[nH]c2c1cccc2)=O","COC(c1c[nH]c2c1cccc2)=O"
"6","COC(c(cc(cc[nH]1)c1c1)c1C([Hg])=O)=O","COC(c(cc1)cc2c1[nH]cc2)=O"
"6","COC(c1c(cc[nH]2)c2cc(C([Hg])=O)c1)=O","COC(c1c(cc[nH]2)c2ccc1)=O"
"5","COC(c1cc(cc(cc2)C([Hg])=O)c2[nH]1)=O","COC(c1cc(cccc2)c2[nH]1)=O"
"5","COC(c1c[nH]c(cc2)c1cc2C([Hg])=O)=O","COC(c1c[nH]c2c1cccc2)=O"
"3","COC(c1c(C([Hg])=O)c(cccc2)c2[nH]1)=O","COC(c1cc(cccc2)c2[nH]1)=O"
"7","COC(c(cc1)c(cc[nH]2)c2c1C([Hg])=O)=O","COC(c1c(cc[nH]2)c2ccc1)=O"
"7","COC(c(c1ccc2)c[nH]c1c2C([Hg])=O)=O","COC(c1c[nH]c2c1cccc2)=O"
"7","COC(c1cc(C([Hg])=O)c2[nH]ccc2c1)=O","COC(c(cc1)cc2c1[nH]cc2)=O"
"7","COC(c1cc2cccc(C([Hg])=O)c2[nH]1)=O","COC(c1cc(cccc2)c2[nH]1)=O"
"5","COC(c(cc1[nH]ccc1c1)c1C([Hg])=O)=O","COC(c1cc([nH]cc2)c2cc1)=O"
"4","COC(c(cc1)c2[nH]ccc2c1C([Hg])=O)=O","COC(c1c2[nH]ccc2ccc1)=O"
"4","COC(c1cc(C([Hg])=O)c(cc[nH]2)c2c1)=O","COC(c1cc([nH]cc2)c2cc1)=O"
"4","COC(c1c[nH]c2cccc(C([Hg])=O)c12)=O","COC(c1c[nH]c2c1cccc2)=O"
"4","COC(c([nH]c1ccc2)cc1c2C([Hg])=O)=O","COC(c1cc(cccc2)c2[nH]1)=O"
"6","COC(c(c([nH]cc1)c1cc1)c1C([Hg])=O)=O","COC(c1c2[nH]ccc2ccc1)=O"
"4","COC(c(cc1)c(C([Hg])=O)c2c1[nH]cc2)=O","COC(c(cc1)cc2c1[nH]cc2)=O"
"5","COC(c(c1c(cc2)[nH]cc1)c2C([Hg])=O)=O","COC(c1c(cc[nH]2)c2ccc1)=O"
